Type,Distillery,Whiskeys
Single Malt,Aberfeldy,"['Aberfeldy 12 Year Old', 'Aberfeldy 12 Year Old The Golden Dram Litre', 'Aberfeldy 16 Year Old', 'Aberfeldy 21 Year Old', 'Aberfeldy 21 Year Old Festive Gift Box', 'Aberfeldy 15 Year Old Bot.1980s']"
Single Malt,Aberlour,"['Aberlour 10 Year Old', 'Aberlour 12 Year Old Double Cask Matured', 'Aberlour Casg Annamh', 'Aberlour 16 Year Old Double Cask', ""Aberlour A'Bunadh Batch 61"", ""Aberlour A'Bunadh Batch 62"", 'Aberlour 18 Year Old Half Litre', 'Aberlour-Glenlivet 10 Year Old VOHM Bot.1990s', 'Aberlour-Glenlivet 8 Year Old Bot.1980s', 'Aberlour 100 Proof', 'Aberlour 100 Proof Litre', 'Aberlour 100 Proof Litre', 'Aberlour-Glenlivet 8 Year Old Bot.1970s', 'Aberlour-Glenlivet 9 Year Old Bot.1970s', 'Aberlour-Glenlivet 12 Year Old Bot.1980s', 'Aberlour-Glenlivet 8 Year Old Bot.1970s', 'Aberlour Glenlivet 9 Year Old 1970s', 'Aberlour 1970 25 Year Old Lombard Jewels', 'Aberlour 10 Year Old V.O.H.M. Bot.1980s Litre', 'Aberlour 8 Year Old Bot.1960s']"
Single Malt,Ailsa Bay,"['Ailsa Bay', 'Ailsa Bay Sweet Smoke']"
Single Malt,Allt A Bhainne ,['Allt A Bhainne 1996 22 Year Old Connoisseurs Choice']
Single Malt,AnCnoc,"['AnCnoc Blas', 'AnCnoc Peatheart', 'AnCnoc Black Hill Reserve', 'AnCnoc Rascan', 'AnCnoc Peter Arkle 3rd Edition Bricks', 'AnCnoc 2002 Bot.2017', 'AnCnoc 18 Year Old', 'AnCnoc 24 Year Old', 'AnCnoc 35 Year Old 2nd Release']"
Single Malt,Ardbeg,"['Ardbeg 10 Year Old', 'Ardbeg 10 Year Old + Uigeadail Mini Pack', 'Ardbeg 10 Year Old Warehouse Pack', 'Ardbeg An Oa', 'Ardbeg Uigeadail', 'Ardbeg Corryvreckan', 'Ardbeg Auriverdes Ardbeg Day 2014', 'Ardbeg Perpetuum', 'Ardbog (Ardbeg)', 'Ardbeg 1998 Almost There', 'Ardbeg 1998 Still Young', 'Ardbeg 1998 Renaissance Gift Box', 'Ardbeg 1998 Renaissance', 'Ardbeg 1990 Airigh Nam Beist Bot.2008', 'Ardbeg Perpetuum Distillery Release', 'Ardbeg Supernova 2009', 'Ardbeg Kildalton Bot.2014', 'Ardbeg Supernova 2010', 'Ardbeg 1990 Airigh Nam Beist Bot.2006', 'Ardbeg Uigeadail Large Bottle']"
Single Malt,Ardmore,"['Ardmore Legacy', 'Ardmore 2009 8 Year Old Provenance', 'Ardmore 2009 8 Year Old Signatory', 'Ardmore Traditional Cask', 'Aird Mhor 2009 Cask #707910 Single Malts of Scotland', 'Ardmore 2008 9 Year Old Vintage Casks #6 Mossburn', 'Ardmore 1996 20 Year Old', 'Ardmore 1996 Bot.2014 Gordon & MacPhail', 'Ardmore 1998 Bot.2018 G&M Distillery Labels', 'Ardmore 1997 20 Year Old First Editions', 'Ardmore 1996 22 Year Old OMC 20th Anniversary Bottling', 'Ardmore 1996 21 Year Old Adelphi', 'Ardmore 1977 Samaroli 35th Anniversary']"
Single Malt,Arran,"['Arran Robert Burns Single Malt', 'Arran 10 Year Old', 'Arran Madeira Cask Finish', 'Arran Port Cask Finish', 'Arran Cask Finishes Sauternes', 'Arran Marsala Cask Finish', 'Arran 14 Year Old', 'Arran 2011 5 Year Old Whisky Agency', 'Arran 2011 5 Year Old Whisky Agency', ""Thompson's Arran 1996 18 Years Old Sauternes Cask 1932"", ""Thompson's Arran 1996 18 Years Old Sauternes Cask 1834"", 'Arran 1997 21 Year Old OMC 20th Anniversary Bottling', 'Arran 1996 20 Year Old Berry Bros & Rudd', 'Arran 1996 22 Year Old Connoisseurs Choice', 'Arran 1996 21 Year Old Old Particular', 'Arran 21 Years Old Whisky Show 2018', 'Arran The High Seas Smugglers Series Vol. II', 'Arran 3 Year Old First Bottling']"
Single Malt,Auchentoshan,"['Auchentoshan American Oak', 'Auchentoshan 12 Year Old', 'Auchentoshan American Oak and Tin Cup Gift Set', ""Auchentoshan The Bartender's Malt Annual Edition 01"", 'Auchentoshan Three Wood', 'Auchentoshan Heartwood Litre', ""Auchentoshan Cooper's Reserve 14 Year Old"", 'Auchentoshan 2000 17 Year Old Signatory', 'Auchentoshan Virgin Oak Batch Two', 'Auchentoshan Blood Oak', 'Auchentoshan 18 Year Old', 'Auchentoshan 1996 21 Year Old Old Particular', 'Auchentoshan 21 Year Old', 'Auchentoshan 1992 25 Year Old Signatory', ""Auchentoshan 1991 26 Year Old Claxton's"", 'Glentoshan (Auchentoshan) 5 Year Old Bot.1980s', 'Auchentoshan 18 Year Old Bot.1980s', 'Auchentoshan 18 Year Old Bot.1980s', 'Auchentoshan 1966 Bot.1980s', 'Auchentoshan 1966 31 Year Old']"
Single Malt,Auchroisk,"['Auchroisk 10 Year Old', 'Auchroisk 1996 Bot.2014 Gordon & MacPhail', 'Auchroisk 1990 24 Year Old Cask 13829 The Ultimate', 'Auchroisk 1994 24 Year Old First Editions', 'Auchroisk 1990 26 Year Old Signatory', 'Singleton of Auchroisk 1983 10 Year Old', 'Auchroisk 20 Year Old Bot.2010', ""Auchroisk 1999 9 Year Old Managers' Choice Sherry Cask"", 'Singleton of Auchroisk 1976 Bot.1980s', 'Auchroisk 1990 25 Year Old Special Releases 2016', 'Singleton of Auchroisk 1975 10 Year Old', 'Singleton of Auchroisk 20 Year Old 20th Anniversary']"
Single Malt,Aultmore,"['Aultmore 12 Year Old', 'Aultmore 2006 12 Year Old Old Particular', 'Aultmore 2006 11 Year Old Hidden Spirits', 'Aultmore 2000 18 Year Old Adelphi Selection', 'Aultmore 12 Year Old Bot.1980s', 'Aultmore 12 Year Old Bot.1980s', 'Aultmore 12 Year Old Bot.1970s', 'Aultmore 1983 Bot.1997 Flora & Fauna', 'Aultmore 1983 Bot.1997 Flora & Fauna', 'Aultmore 1974 21 Year Old Rare Malts', 'Aultmore 16 Year Old Centenary']"
Single Malt,Balblair,"['Balblair 2005 Bot.2018', 'Balblair 2003', 'Balblair 12 Year Old Bourbon Cask G&M Discovery', 'Balblair 2011 6 Year Old Sherry Cask AD Rattray', 'Balblair 1997 Gordon & MacPhail TWE Exclusive', 'Balblair 19 Year Old Art of Whisky Mashing', 'Balblair 5 Year Old Bot.1980s', 'Balblair 1991 3rd Release', 'Balblair 1980 Bot. 2013 Gordon & Macphail', 'Balblair VH Bot.1970s', 'Balblair VH Bot.1970s', 'Balblair Bot.1960s', 'Balblair Bot.1960s', 'Balblair 1969 31 Year Old', 'Balblair 33 Year Old']"
Single Malt,Ballechin,"['Ballechin 10 Year Old Heavily Peated', 'Ballechin 2005 11 Year Old Bordeaux', 'Ballechin 2004 13 Year Old Port Cask #213', 'Ballechin 2004 13 Year Old Burgundy Cask #41', 'Ballechin 2005 12 Year Old Bordeaux Cask', 'Ballechin 2005 11 Year Old Cask 423 The Ultimate', 'Ballechin 2004 12 Year Old Bourbon Barrel TWE']"
Single Malt,Balmenach,"['Balmenach 2006 12 Year Old Old Particular', 'Balmenach 2004 13 Year Old Old Malt Cask', 'Balmenach 2004 13 Year Old Old Malt Cask', 'Balmenach 2004 13 Year Old BLM.418 Hidden Spirits', 'Balmenach 10 Year Old Bot.1990s', 'Balmenach 1990 13 Year Old Adelphi', 'Balmenach 1971 16 Year Old Connoisseurs Choice']"
Single Malt,Balvenie,"['Balvenie 12 Year Old Double Wood Small Bottle', 'Balvenie 12 Year Old DoubleWood', 'Balvenie 14 Year Old Caribbean Cask', 'Balvenie 2002 Peat Week 14 Year Old', 'Balvenie 2003 Peat Week 14 Year Old', 'Balvenie 17 Year Old DoubleWood', 'Balvenie 21 Year Old Port Wood', 'Balvenie Tun 1509 Batch 4', 'Balvenie 8 Year Old Bot.1970s', 'Balvenie Classic Bot.1980s', 'Balvenie 25 Year Old Triple Cask', 'Balvenie Classic Bot.1980s', 'Balvenie Tun 1509 Batch 3', 'Balvenie 1974 15 Year Old Dun Eideann', 'Balvenie 18 Year Old Classic Bot.1980s', 'Balvenie 30 Year Old', 'Balvenie Tun 1401 Batch 7', 'Balvenie 12 Year Old Classic Bot.1980s', 'Balvenie 12 Year Old Classic Bot.1980s', 'Balvenie 12 Year Old Classic Bot.1980s']"
Single Malt,Banff,"['Banff 1974 Bot.1980s Connoisseurs Choice', 'Banff 1980 23 Year Old Duncan Taylor', 'Banff 1980 26 Year Old Duncan Taylor', 'Banff 1982 21 Year Old Rare Malts', 'Banff 1976 27 Year Old Blackadder', 'SMWS 67.2 1980 Bot.1990 9 Year Old', 'Banff 1966 31 Year Old Old Malt Cask']"
